Imdb Title Id,Title,Year of Release,Date Published,Genre,Duration(min),Country,Language,Director,Production Company,Average Vote,Votes,User Reviews,Critic Reviews
tt0012975,The Bride's Play,1922,1/22/1922,Romance,70,USA,English,George Terwilliger,Cosmopolitan Productions,6.2,255,6,13
tt0013033,Crainquebille,1922,10/7/1923,Drama,90,"France, Belgium",French,Jacques Feyder,Films A. Legrand,7.1,340,10,4
tt0013059,Der var engang,1922,10/3/1922,"Drama, Family, Fantasy",75,Denmark,French,Carl Theodor Dreyer,Sophus Madsen Film,6.3,343,4,1
tt0013075,Dr. Jack,1922,11/26/1922,"Comedy, Romance",60,USA,English,"Fred C. Newmeyer, Sam Taylor",Hal Roach Studios,7.1,"1,194.00",18,8
tt0013085,Down to the Sea in Ships,1922,3/4/1923,"Adventure, Drama, Romance",83,USA,French,Elmer Clifton,Whaling Film Corp.,6.1,336,16,7
tt0013122,La femme de nulle part,1922,7/26/1922,Drama,61,France,French,Louis Delluc,Paramount Pictures,6.5,118,1,1
tt0013134,Flesh and Blood,1922,8/27/1922,Drama,74,USA,French,Irving Cummings,Irving Cummings Productions,6.2,151,10,13
tt0013140,Femmine folli,1922,1/11/1922,"Drama, Thriller",117,USA,Latin,Erich von Stroheim,Universal Film Manufacturing Company,7,"3,072.00",26,31
tt0013169,Gli stigmatizzati,1922,2/7/1922,Drama,105,Germany,German,Carl Theodor Dreyer,Primus-Film GmbH,6.5,360,4,3
tt0013201,Il talismano della nonna,1922,9/3/1922,"Comedy, Family",60,USA,English,Fred C. Newmeyer,Hal Roach Studios,7,"1,618.00",24,16
tt0013223,The Headless Horseman,1922,11/5/1922,"Comedy, Drama, Horror",68,USA,English,Edward D. Venturini,Sleepy Hollow Corporation,4.9,225,10,4
